Date,tecl_stitched_return
1992-08-18,-0.0094719883723716
1992-08-19,-0.0095059916939757
1992-08-20,0.0123292909831933
1992-08-21,-0.0276239608713782
1992-08-24,-0.0508416899139536
1992-08-25,0.0163932810294696
1992-08-26,0.0283600424392672
1992-08-27,0.0206865212296255
1992-08-28,0.009582218869841
1992-08-31,-0.0040660624914819
1992-09-01,0.0204594980249345
1992-09-02,0.0302017757308298
1992-09-03,0.0075771465151792
1992-09-04,-0.0057311734724815
1992-09-08,-0.0004036990247545
1992-09-09,0.0253857625348317
1992-09-10,0.0277666744044867
1992-09-11,0.0091700498356906
1992-09-14,0.0559747485800896
1992-09-15,-0.0233128364473407
1992-09-16,-0.02437666375917
1992-09-17,0.0151583133141082
1992-09-18,0.0159207795965914
1992-09-21,-0.0029664832921049
1992-09-22,-0.0251838296694711
1992-09-23,-0.0038579795979598
1992-09-24,0.0237922527856009
1992-09-25,-0.0474639417350562
1992-09-28,-0.0134642477364409
1992-09-29,0.0250408210621779
1992-09-30,0.0048294370660626
1992-10-01,-0.0150920455574071
1992-10-02,-0.0291196939048449
1992-10-05,-0.0268160898832355
1992-10-06,0.0209918776550822
1992-10-07,-0.0048107592757376
1992-10-08,0.0473816901109455
1992-10-09,-0.0151549271684359
1992-10-12,0.0301716521462333
1992-10-13,0.0056377906803248
1992-10-14,-0.0029899377886702
1992-10-15,0.0107963043167426
1992-10-16,0.0236164576108012
1992-10-19,0.0514256796706759
1992-10-20,-0.0087475809905814
1992-10-21,0.0112905549011291
1992-10-22,-0.0087235201730654
1992-10-23,-0.0137591235725887
1992-10-26,0.0054607084709721
1992-10-27,-0.0129620855156522
1992-10-28,0.0483724383232925
1992-10-29,0.0292923874197044
1992-10-30,-0.0077514056656547
1992-11-02,0.0208458041219726
1992-11-03,-0.0133978710048146
1992-11-04,-0.0126490376049407
1992-11-05,0.0462768156835674
1992-11-06,0.0196833790458339
1992-11-09,0.0203174922702006
1992-11-10,0.0296496535301451
1992-11-11,0.0183439107866151
1992-11-12,-0.0027542697864198
1992-11-13,-0.0027589152461397
1992-11-16,-0.0058809056723317
1992-11-17,-0.0409727660253315
1992-11-18,0.0463049591718431
1992-11-19,0.0275661867349636
1992-11-20,0.0172509213493
1992-11-23,-0.0287180222616653
1992-11-24,0.0374126038414696
1992-11-25,0.0003140177550806
1992-11-27,0.0079199872302021
1992-11-30,0.0056117619939109
1992-12-01,0.001054651617833
1992-12-02,-0.0163402561763316
1992-12-03,0.0162852178001106
1992-12-04,0.0131587996338303
1992-12-07,0.0266154246289752
1992-12-08,0.002525593948758
1992-12-09,-0.0101053255326616
1992-12-10,-0.0355012658257456
1992-12-11,-0.0238967968375757
1992-12-14,-0.0073205645904939
