Date,n_tqqq_pct,m_soxl_pct,signal_below_sma,tqqq_sma160_anchor_drawdown_pct,TQQQ_OPEN,SOXL_OPEN,base_target_regime_at_open,selected_leg,action,strategy_return,strategy_equity,SOXL_SOURCE
2005-12-20,17.0,28.0,False,0.0,0.505230764794786,0.5687380852816044,TQQQ,TQQQ,,0.0011039907511394276,1.0011039907511394,synthetic_3x_semiconductor_ohlc_fee_financing
2005-12-21,17.0,28.0,False,0.0,0.5085195979452357,0.5714913678608267,TQQQ,TQQQ,,0.009804835615196517,1.0109196508141716,synthetic_3x_semiconductor_ohlc_fee_financing
2005-12-22,17.0,28.0,False,0.0,0.5115177001199969,0.5714280209655305,TQQQ,TQQQ,,0.02270105619785423,1.0338685946188193,synthetic_3x_semiconductor_ohlc_fee_financing
2005-12-23,17.0,28.0,False,0.0,0.5250318592468086,0.5930134371679177,TQQQ,TQQQ,,-0.0009433671100399499,1.0328932769905528,synthetic_3x_semiconductor_ohlc_fee_financing
2005-12-27,17.0,28.0,False,0.0,0.524201032647113,0.5959988093748239,TQQQ,TQQQ,,-0.02611394556152069,1.0059203581843608,synthetic_3x_semiconductor_ohlc_fee_financing
2005-12-28,17.0,28.0,False,0.0,0.5096785144612092,0.5722509128320159,TQQQ,TQQQ,,-0.002459411273815215,1.003446386314882,synthetic_3x_semiconductor_ohlc_fee_financing
2005-12-29,17.0,28.0,False,0.0,0.5072361097033288,0.5753416470076861,TQQQ,TQQQ,,-0.021304374637319712,0.982068588572365,synthetic_3x_semiconductor_ohlc_fee_financing
2005-12-30,17.0,28.0,False,0.0,0.4886214465540102,0.55684031535764,TQQQ,TQQQ,,-0.01859339729955367,0.9638085971296271,synthetic_3x_semiconductor_ohlc_fee_financing
2006-01-03,17.0,28.0,False,0.0,0.4940399766430372,0.554347219907473,TQQQ,TQQQ,,0.06314655357562926,1.0246697883449252,synthetic_3x_semiconductor_ohlc_fee_financing
2006-01-04,17.0,28.0,False,0.0,0.5204049976596246,0.5976009633009527,TQQQ,TQQQ,,0.028209455913856818,1.0535751655655023,synthetic_3x_semiconductor_ohlc_fee_financing
2006-01-05,17.0,28.0,False,0.0,0.5330294556385342,0.6149140101121185,TQQQ,TQQQ,,0.016550543838658616,1.0710124075305163,synthetic_3x_semiconductor_ohlc_fee_financing
2006-01-06,17.0,28.0,False,0.0,0.5520491969995217,0.6602258300201186,TQQQ,TQQQ,,0.0520635940797336,1.1267731627705433,synthetic_3x_semiconductor_ohlc_fee_financing
2006-01-09,17.0,28.0,False,0.0,0.567643344090139,0.7018230837152818,TQQQ,TQQQ,,0.011762395995437602,1.140026714908082,synthetic_3x_semiconductor_ohlc_fee_financing
2006-01-10,17.0,28.0,False,0.0,0.565492604385171,0.7180947864460339,TQQQ,UVIX,enter_uvix_high_rsi_bb20z,-0.07434510136224903,1.0552713132325688,synthetic_3x_semiconductor_ohlc_fee_financing
2006-01-11,17.0,28.0,False,0.0,0.5815374762529016,0.7396614886563414,TQQQ,TQQQ,exit_uvix,0.01638121773064638,1.0725579423795366,synthetic_3x_semiconductor_ohlc_fee_financing
2006-01-12,17.0,28.0,False,0.0,0.5872878287198134,0.765302903277985,TQQQ,UVIX,enter_uvix_high_rsi_bb20z,0.014640736708890323,1.0882609808189445,synthetic_3x_semiconductor_ohlc_fee_financing
