method,method_label,candidate_id,parameters,min_delay_cagr,mean_delay_cagr,min_post_2008_cagr,min_trailing_252_return,min_2026_ytd_return,worst_volatility,worst_max_drawdown,worst_dotcom_drawdown,min_average_tqqq_weight,max_average_tqqq_weight,min_turnover,max_turnover,min_delay_cagr_value,max_delay_cagr_value,delay_cagr_gap,passes_hard_requirements
A_asymmetric_reentry,A: Faster re-entry,asym_entry_0.00,"{""entry_tolerance"": 0.0, ""exit_tolerance"": 0.03}",0.34513393633420475,0.35627870245301796,0.31995227134754023,0.46504862416257975,0.015829543454872974,0.4685423293764642,-0.6880259372787018,-0.394528818511214,0.7054965236783418,0.7056277056277056,89.9704554134232,89.99125807976534,0.34513393633420475,0.36742346857183117,0.02228953223762642,True
A_asymmetric_reentry,A: Faster re-entry,asym_entry_0.01,"{""entry_tolerance"": 0.01, ""exit_tolerance"": 0.03}",0.3490797726452888,0.3547266800956912,0.3025268602986131,0.44381635933654917,0.0011076007636754426,0.46379059347659124,-0.6884160382302577,-0.3707790080622211,0.6950019677292405,0.6951331496786042,84.17759875109547,84.19587171444351,0.3490797726452888,0.3603735875460936,0.011293814900804833,True
A_asymmetric_reentry,A: Faster re-entry,asym_entry_0.02,"{""entry_tolerance"": 0.02, ""exit_tolerance"": 0.03}",0.38792322807272583,0.39213988578561076,0.3689520374865187,0.3958414126247751,-0.030563385893075057,0.4558798695212247,-0.6187762433256292,-0.3707790080622211,0.6812278630460449,0.6813590449954087,72.41687395392535,72.43311423492875,0.38792322807272583,0.3963565434984957,0.00843331542576986,True
B_exit_confirmation,B: Confirmed exit,confirm_exit_2d,"{""exit_confirmation_days"": 2}",0.3897521756261235,0.40098855475706074,0.40211120006631473,0.30589190520592235,-0.09201449899995273,0.45601183133575546,-0.6089668868857527,-0.3392857563953485,0.6682408500590319,0.6683720320083957,54.673383569151035,54.68708861603207,0.3897521756261235,0.41222493388799797,0.022472758261874448,True
B_exit_confirmation,B: Confirmed exit,confirm_exit_3d,"{""exit_confirmation_days"": 3}",0.39370635317836067,0.4042361014008231,0.4007822337885989,0.31707052994259555,-0.08424201098501294,0.4614631359957796,-0.5985047696451806,-0.33154928761238533,0.6712580348943985,0.6713892168437623,54.59304938692206,54.62213885381403,0.39370635317836067,0.41476584962328555,0.021059496444924886,True
B_exit_confirmation,B: Confirmed exit,confirm_exit_5d,"{""exit_confirmation_days"": 5}",0.42896781680067564,0.4296492187801133,0.40331080278649334,0.14556248644980374,-0.2034914038141875,0.46880043199295224,-0.5672706519745585,-0.4311910488267453,0.6772924045651318,0.6774235865144956,54.47416847404319,54.48238268035327,0.42896781680067564,0.430330620759551,0.001362803958875336,True
Baseline,Baseline,baseline,"{""ma_window"": 150, ""tolerance"": 0.03, ""vol_threshold"": 0.32, ""vol_window"": 40}",0.41195425197017665,0.414017528706345,0.4020930336319135,0.33408353067595264,-0.07497850818989038,0.44801752701271347,-0.5986999094008929,-0.3707790080622211,0.6648301193755739,0.6649613013249377,60.74721931334652,60.763536591864685,0.41195425197017665,0.41608080544251336,0.0041265534723367026,True
C_partial_riskoff,C: Partial TQQQ off,partial_riskoff_0.10,"{""riskoff_tqqq_weight"": 0.1}",0.41180528791154436,0.4135554665091916,0.4066518916384372,0.4199990749610769,-0.056303461603918414,0.4509528241761784,-0.5746204719029955,-0.5031615148760108,0.6983208710481438,0.6984520529975076,64.284834144907,64.34007850247278,0.41180528791154436,0.41530564510683887,0.0035003571952945123,True
C_partial_riskoff,C: Partial TQQQ off,partial_riskoff_0.20,"{""riskoff_tqqq_weight"": 0.2}",0.40472447348597185,0.4061385275100954,0.4071032927769993,0.5097324104624714,-0.037573395572745416,0.4646495807289131,-0.6709958745574445,-0.6709958745574447,0.7318116227207135,0.7319428046700774,67.84298362304526,67.93690709443979,0.40472447348597185,0.4075525815342189,0.002828108048247069,False
C_partial_riskoff,C: Partial TQQQ off,partial_riskoff_0.30,"{""riskoff_tqqq_weight"": 0.3}",0.3908784596006931,0.3919384772211969,0.40347286700121865,0.6033494941216235,-0.018796459780341723,0.488203120465483,-0.800857084818625,-0.800857084818625,0.7653023743932834,0.7654335563426472,69.26445072191349,69.38458409272317,0.3908784596006931,0.3929984948417007,0.0021200352410075674,False
