episode_id,entry_date,exit_date,entry_index,exit_index,holding_days,days_since_previous_exit,calendar_days_since_previous_exit,episode_return,episode_return_pct,entry_rsi,exit_rsi,entry_tqqq_open,exit_tqqq_open,tqqq_open_return_during_episode
1,2010-03-12,2010-03-12,19,19,1,,,-0.010230582567048785,-1.0230582567048785,70.50812620706434,70.50812620706434,0.2638895979872641,0.2638895979872641,0.0
2,2010-03-16,2010-03-19,21,24,4,2.0,4.0,-0.09029862160486968,-9.029862160486967,70.12376771009264,75.26238926893018,0.2624014310995993,0.2645347096236503,0.008129828084821877
3,2010-03-23,2010-03-25,26,28,3,2.0,4.0,0.02418645380786444,2.418645380786444,71.89290650080268,69.63035080799919,0.2735408927162865,0.280091067697814,0.023945871187607937
4,2010-03-30,2010-03-30,31,31,1,3.0,5.0,-0.023283971171399465,-2.3283971171399465,70.45936744234211,70.45936744234211,0.2791488268082483,0.2791488268082483,0.0
5,2010-04-05,2010-04-07,34,36,3,3.0,6.0,-0.11141856521130589,-11.141856521130588,70.6238940743174,73.36974312601969,0.2774615473895696,0.2846070697167064,0.02575319857603242
6,2010-04-09,2010-04-16,38,43,6,2.0,2.0,0.02500685484671905,2.500685484671905,69.92047396119202,76.8886363631673,0.285921805492033,0.306911742306367,0.07341145869659393
7,2010-04-26,2010-04-26,49,49,1,6.0,10.0,-0.02106538152633486,-2.106538152633486,70.61925629618503,70.61925629618503,0.3173575755928351,0.3173575755928351,0.0
8,2010-10-14,2010-10-14,169,169,1,120.0,171.0,0.03440716688657597,3.440716688657597,70.08633610583959,70.08633610583959,0.2952510749540548,0.2952510749540548,0.0
9,2010-11-04,2010-11-09,184,187,4,15.0,21.0,0.06668177296533129,6.668177296533129,70.3765145305916,76.54909212866175,0.3514723771101954,0.3579977871959806,0.018565925833025743
10,2010-12-22,2010-12-23,217,218,2,30.0,43.0,0.01925664592494103,1.925664592494103,70.93178641488345,71.08727313738517,0.3748699108776566,0.3732568719434455,-0.004302929862881277
11,2010-12-28,2010-12-30,220,222,3,2.0,5.0,-0.0026143606262406527,-0.26143606262406527,71.35592443545777,71.27512531448826,0.3752909668124938,0.3732569108922421,-0.0054199437240064485
12,2011-01-04,2011-01-19,225,235,11,3.0,5.0,-0.194583060244934,-19.4583060244934,75.93269274461557,76.71853307179266,0.388292096394472,0.4251365361320946,0.09488846175275167
13,2011-01-27,2011-01-28,241,242,2,6.0,8.0,0.11469514359850752,11.469514359850752,70.95093941645706,71.88471020439793,0.4192314090312199,0.4225070463642838,0.007813434925196594
14,2011-02-09,2011-02-09,250,250,1,8.0,12.0,-0.034792908105411136,-3.4792908105411136,69.52989373271774,69.52989373271774,0.4380138059145149,0.4380138059145149,0.0
15,2011-02-14,2011-02-22,253,258,6,3.0,5.0,0.32771251152689973,32.77125115268997,70.95041029964872,70.06442786279221,0.4493276522300661,0.4382120441045712,-0.024738313055799765
16,2011-05-02,2011-05-02,306,306,1,48.0,69.0,0.05486991672339925,5.486991672339925,69.66591528462936,69.66591528462936,0.4605414612031109,0.4605414612031109,0.0
17,2012-01-26,2012-01-26,492,492,1,186.0,269.0,0.07619941304462752,7.619941304462752,71.63066046241508,71.63066046241508,0.431612354841603,0.431612354841603,0.0
18,2012-02-06,2012-02-10,499,503,5,7.0,11.0,0.2883116310193823,28.83116310193823,73.14873626340497,74.68074450506235,0.4554308904769339,0.4701192656968059,0.0322516006863085
19,2012-02-14,2012-02-15,505,506,2,2.0,4.0,0.11403056918868981,11.40305691886898,70.29749388418067,69.64913253512356,0.4799440332543752,0.4938875066502889,0.029052290329284247
20,2012-02-21,2012-02-22,509,510,2,3.0,6.0,-0.002504299019578604,-0.2504299019578604,70.48008364315386,70.73530235095461,0.493590262886122,0.4928460585834622,-0.0015077370009455304
21,2012-02-27,2012-02-29,513,515,3,3.0,5.0,-0.12556710886877454,-12.556710886877454,69.64955828989476,72.64138957758855,0.4948307126293065,0.5226193047002995,0.05615777550131629
22,2012-03-02,2012-03-02,517,517,1,2.0,2.0,0.02115097492596818,2.115097492596818,70.02586699046267,70.02586699046267,0.5249020333783375,0.5249020333783375,0.0
23,2012-03-14,2012-03-21,525,530,6,8.0,12.0,-0.2433073533575526,-24.33073533575526,69.73156107157598,69.91869974245941,0.5599342964269478,0.5837033931342864,0.04244979609038757
24,2012-09-14,2012-09-24,653,659,7,123.0,177.0,0.004474021331120515,0.44740213311205146,73.31892443540397,69.54934639512014,0.6311920385881686,0.6286117721365598,-0.004087926168049094
25,2013-01-23,2013-01-31,740,746,7,81.0,121.0,0.09364576803821878,9.364576803821878,71.13002117957546,69.39363229280139,0.5702565038174121,0.555766135284817,-0.0254102643908376
26,2013-02-04,2013-02-04,748,748,1,2.0,4.0,0.05902427095294338,5.902427095294338,71.67717128680772,71.67717128680772,0.5616217963410394,0.5616217963410394,0.0
27,2013-02-20,2013-02-20,759,759,1,11.0,16.0,0.1922613637824564,19.22613637824564,70.98113979253807,70.98113979253807,0.585142974957243,0.585142974957243,0.0
28,2013-03-15,2013-03-15,776,776,1,17.0,23.0,-0.01027191557160445,-1.027191557160445,70.04482322308792,70.04482322308792,0.6004260113586362,0.6004260113586362,0.0
29,2013-05-15,2013-05-22,818,823,6,42.0,61.0,0.03414045651775033,3.414045651775033,70.78831556569122,72.56566294587955,0.7223970443725939,0.7506818721458821,0.03915412998104628
30,2013-09-19,2013-09-20,906,907,2,83.0,120.0,0.06414104754962247,6.4141047549622465,72.56528653589962,70.210016411744,0.9085791471916144,0.913938131707913,0.005898203291219151
31,2013-10-30,2013-10-30,935,935,1,28.0,40.0,0.03323316802816323,3.323316802816323,70.6053282454621,70.6053282454621,1.0466277221438305,1.0466277221438305,0.0
32,2013-12-27,2013-12-27,975,975,1,40.0,58.0,0.04629250572208621,4.629250572208621,69.95152356813948,69.95152356813948,1.2274495760802464,1.2274495760802464,0.0
33,2013-12-31,2013-12-31,977,977,1,2.0,4.0,0.03431248230253248,3.4312482302532477,69.57124271341809,69.57124271341809,1.2150449324326766,1.2150449324326766,0.0
34,2014-06-06,2014-06-11,1085,1088,4,108.0,157.0,-0.015696962188785468,-1.5696962188785468,71.38709335129565,72.1980534293136,1.4172041093832586,1.4128380595571333,-0.0030807487765649455
35,2014-06-20,2014-06-24,1095,1097,3,7.0,9.0,0.06518609535058095,6.518609535058095,70.22221124318762,70.22515581148488,1.42931208119204,1.432884704221275,0.0024995402167562464
36,2014-07-03,2014-07-07,1104,1105,2,7.0,9.0,0.07048313111135696,7.048313111135696,70.47867247738625,72.55920924394823,1.5558095098606712,1.5641476487852213,0.005359357216743632
37,2014-11-19,2014-11-19,1201,1201,1,96.0,135.0,0.017711942124618574,1.7711942124618574,70.89864683030314,70.89864683030314,1.9484846750205376,1.9484846750205376,0.0
38,2014-11-21,2014-12-01,1203,1208,6,2.0,2.0,0.1231662307396919,12.31662307396919,71.77286348864742,69.4111210694179,2.006651486936837,2.072759045593261,0.032944215319291814
39,2015-11-04,2015-11-04,1442,1442,1,234.0,338.0,0.11288502060895311,11.288502060895311,69.79190865192457,69.79190865192457,2.5050166430679126,2.5050166430679126,0.0
40,2016-04-04,2016-04-04,1544,1544,1,102.0,152.0,0.06601077332747174,6.601077332747174,70.44776831499675,70.44776831499675,2.097939884711242,2.097939884711242,0.0
41,2016-12-08,2016-12-14,1718,1722,5,174.0,248.0,0.0036336303439625794,0.36336303439625794,72.58435711063555,75.51540856538018,2.5036278296117263,2.6398488995732294,0.054409472666162584
42,2016-12-16,2016-12-16,1724,1724,1,2.0,2.0,0.006325142498872394,0.6325142498872394,70.61715456450716,70.61715456450716,2.6436225203036328,2.6436225203036328,0.0
43,2016-12-20,2016-12-21,1726,1727,2,2.0,4.0,-0.04128496758764477,-4.128496758764477,69.62218898730134,70.49743856819808,2.6517631206887597,2.6638772129334383,0.004568316132827155
44,2017-02-13,2017-03-03,1762,1775,14,35.0,54.0,-0.035875332920976444,-3.5875332920976444,71.1153077950721,71.46689558630405,3.1493914113780153,3.361469547916993,0.06733940270897709
45,2017-10-03,2017-10-18,1923,1934,12,148.0,214.0,-0.15926228582644253,-15.926228582644253,72.43726853032456,75.70829472894428,4.567213093459928,4.886917468918341,0.06999988152867598
46,2017-10-20,2017-10-24,1936,1938,3,2.0,2.0,0.10492564154135109,10.49256415413511,77.41104455411616,71.07769227537476,4.858721316673595,4.768567961597977,-0.01855495493562065
47,2017-11-06,2017-11-08,1947,1949,3,9.0,13.0,-0.0037513564254909593,-0.3751356425490959,70.08603146477324,69.29175695041863,5.261828192176725,5.328150329748559,0.012604390555822853
48,2017-11-29,2017-12-05,1963,1967,5,14.0,21.0,0.0926047636435412,9.260476364354119,72.36779008980326,71.34785385507575,5.5870922065061706,5.177631130521443,-0.07328697305333709
49,2017-12-08,2017-12-22,1970,1980,11,3.0,3.0,-0.1801024956917654,-18.01024956917654,70.21201859223864,70.57157236031847,5.432998515895043,5.6871741418329265,0.04678367299277841
50,2017-12-28,2017-12-29,1983,1984,2,3.0,6.0,0.004727183649775313,0.4727183649775313,69.92113640907336,70.88745418908607,5.649841091179209,5.636337981055238,-0.002389998215180378
51,2018-01-04,2018-01-29,1987,2003,17,3.0,6.0,0.292955646906744,29.295564690674404,73.91348687759634,83.58084554308698,6.031502119637399,7.184822226907882,0.19121606598056173
52,2018-08-30,2018-08-30,2152,2152,1,149.0,213.0,0.03883879291612802,3.8838792916128018,69.55645315714173,69.55645315714173,8.585564746027908,8.585564746027908,0.0
53,2018-09-21,2018-09-21,2167,2167,1,15.0,22.0,0.012867127325011385,1.2867127325011385,69.51367773151308,69.51367773151308,8.371107213712698,8.371107213712698,0.0
54,2019-02-25,2019-02-25,2272,2272,1,105.0,157.0,0.10885818081812193,10.885818081812193,71.28649980471617,71.28649980471617,6.205087466273493,6.205087466273493,0.0
55,2019-03-04,2019-03-04,2277,2277,1,5.0,7.0,0.09769735124712886,9.769735124712886,71.10653239747764,71.10653239747764,6.3196201673655965,6.3196201673655965,0.0
56,2019-04-15,2019-04-17,2307,2309,3,30.0,42.0,-0.0009148195553226879,-0.09148195553226879,69.55233309604455,70.70475615275528,7.455669422838402,7.681237495415469,0.030254570017026472
57,2019-04-24,2019-04-25,2313,2314,2,4.0,7.0,0.07393485528682175,7.3934855286821755,73.08725813990102,70.30345984542244,8.008250797452424,8.088212442609667,0.009984907713264768
58,2019-04-29,2019-05-01,2316,2318,3,2.0,4.0,0.06867288221139911,6.867288221139911,72.42720298166788,74.83357372819476,8.027347474450167,8.034508205538293,0.0008920419990434691
59,2019-07-15,2019-07-16,2369,2370,2,51.0,75.0,0.00017637603259967882,0.017637603259967882,71.51125754010457,70.02701278489428,8.230238722127792,8.21710934993137,-0.0015952601910711461
60,2019-11-15,2019-11-20,2457,2460,4,87.0,122.0,-0.004490430035675064,-0.44904300356750637,71.95930145712138,70.51779620809378,8.964227380212924,8.992871859212807,0.0031954208416344887
61,2019-11-26,2019-12-02,2464,2467,4,4.0,6.0,0.11951174048929203,11.951174048929204,72.24469924505385,69.94955717323826,9.179054825561265,9.27811106659455,0.010791551299752511
62,2019-12-16,2019-12-30,2477,2486,10,10.0,14.0,0.1291558408089768,12.91558408089768,69.83662385875687,78.44291252585455,9.717312475865585,10.474187423431722,0.07788932891125522
63,2020-01-02,2020-01-02,2488,2488,1,2.0,3.0,-0.0021107445151159476,-0.21107445151159476,73.38366769190144,73.38366769190144,10.591189959300344,10.591189959300344,0.0
64,2020-01-09,2020-01-24,2493,2503,11,5.0,7.0,0.022775433318011906,2.2775433318011906,69.95676886321014,74.93065626667536,11.25022667462319,12.285350626616404,0.09200916407561044
65,2020-06-05,2020-06-10,2595,2598,4,92.0,133.0,0.1353968805484791,13.53968805484791,70.81683932366565,71.21909741265128,10.25570086849586,11.45677475595612,0.11711280417214587
66,2020-08-11,2020-08-11,2641,2641,1,43.0,62.0,0.12550415885056299,12.5504158850563,70.76589262681465,70.76589262681465,14.751968277352434,14.751968277352434,0.0
67,2020-08-24,2020-09-03,2650,2658,9,9.0,13.0,0.826302928474959,82.6302928474959,70.8427689009257,78.42438156342658,17.456181847722508,19.90608727307198,0.1403460073182674
68,2021-04-12,2021-04-20,2808,2814,7,150.0,221.0,-0.009199853897238097,-0.9199853897238097,71.32927544676244,68.76555612666918,25.382559950183648,25.800428538098167,0.016462822849020675
69,2021-07-06,2021-07-07,2867,2868,2,53.0,77.0,0.07956475675080643,7.956475675080643,72.36964170594656,70.33695067227488,30.43280100058926,31.256600578999866,0.02706946292569823
70,2021-11-03,2021-11-10,2952,2957,6,84.0,119.0,0.10078811964578205,10.078811964578204,70.86198383483489,68.7846031603534,38.04757073156916,38.85464761900147,0.021212310586826932
71,2021-11-17,2021-11-17,2962,2962,1,5.0,7.0,0.03882603738748425,3.8826037387484247,69.99675488486724,69.99675488486724,40.40435624915608,40.40435624915608,0.0
72,2022-08-15,2022-08-16,3147,3148,2,185.0,271.0,-0.04932510554475922,-4.932510554475922,70.18809123016933,71.6093685669527,17.980308005359795,18.41488664606714,0.024169699461088046
73,2023-06-13,2023-06-20,3355,3359,5,207.0,301.0,-0.04250144160020353,-4.250144160020353,70.78661964503388,70.09442081127062,19.00947616366756,19.453695151119803,0.02336829187861933
74,2023-07-14,2023-07-20,3376,3380,5,17.0,24.0,-0.0156228956371125,-1.56228956371125,71.13058036322423,72.23887759958356,21.41878770056825,21.874096560244787,0.02125745238440646
