Report_Date,Price_Date,Price,EPS_4Q_Sum,PE_Ratio,Type
2016-12-09,2016-12-09,2259.530029296875,128.29,17.612674637905332,forward
2016-12-09,2016-12-12,2256.9599609375,128.29,17.592641366727726,forward
2016-12-09,2016-12-13,2271.719970703125,128.29,17.707693278533988,forward
2016-12-09,2016-12-14,2253.280029296875,128.29,17.56395688905507,forward
2016-12-09,2016-12-15,2262.030029296875,128.29,17.632161737445436,forward
2016-12-16,2016-12-16,2258.070068359375,128.39,17.587585235293833,forward
2016-12-16,2016-12-19,2262.530029296875,128.39,17.622322838981816,forward
2016-12-16,2016-12-20,2270.760009765625,128.39,17.686424252399917,forward
2016-12-16,2016-12-21,2265.179931640625,128.39,17.642962315138448,forward
2016-12-16,2016-12-22,2260.9599609375,128.39,17.610093939851236,forward
2016-12-23,2016-12-23,2263.7900390625,128.21,17.656891342816472,forward
2016-12-23,2016-12-27,2268.8798828125,128.21,17.69659061549411,forward
2016-12-23,2016-12-28,2249.919921875,128.21,17.548708539700492,forward
2016-12-23,2016-12-29,2249.260009765625,128.21,17.543561420837882,forward
2016-12-23,2016-12-30,2238.830078125,128.21,17.462211045355275,forward
2016-12-23,2017-01-03,2257.830078125,132.51,17.03894104690212,forward
2016-12-23,2017-01-04,2270.75,132.51,17.136442532639048,forward
2016-12-23,2017-01-05,2269.0,132.51,17.123235982190025,forward
2017-01-06,2017-01-06,2276.97998046875,132.59,17.17308982931405,forward
2017-01-06,2017-01-09,2268.89990234375,132.59,17.11214950104646,forward
2017-01-06,2017-01-10,2268.89990234375,132.59,17.11214950104646,forward
2017-01-06,2017-01-11,2275.320068359375,132.59,17.160570694316124,forward
2017-01-06,2017-01-12,2270.43994140625,132.59,17.123764547901423,forward
2017-01-13,2017-01-13,2274.639892578125,132.57,17.1580289098448,forward
2017-01-13,2017-01-17,2267.889892578125,132.57,17.107112412899788,forward
2017-01-13,2017-01-18,2271.889892578125,132.57,17.137285151830167,forward
2017-01-13,2017-01-19,2263.68994140625,132.57,17.07543140534246,forward
2017-01-20,2017-01-20,2271.31005859375,132.71,17.114837303848617,forward
2017-01-20,2017-01-23,2265.199951171875,132.71,17.068796256287204,forward
2017-01-20,2017-01-24,2280.070068359375,132.71,17.18084596759381,forward
2017-01-20,2017-01-25,2298.3701171875,132.71,17.318740993048753,forward
2017-01-20,2017-01-26,2296.679931640625,132.71,17.306005060964697,forward
2017-01-27,2017-01-27,2294.68994140625,132.63,17.301439654725552,forward
2017-01-27,2017-01-30,2280.89990234375,132.63,17.19746590020169,forward
2017-01-27,2017-01-31,2278.8701171875,132.63,17.182161782307926,forward
2017-01-27,2017-02-01,2279.550048828125,132.63,17.18728831205704,forward
2017-01-27,2017-02-02,2280.85009765625,132.63,17.19709038419852,forward
2017-02-03,2017-02-03,2297.419921875,131.83,17.427140422324204,forward
2017-02-03,2017-02-06,2292.56005859375,131.83,17.39027579908784,forward
2017-02-03,2017-02-07,2293.080078125,131.83,17.394220421186375,forward
2017-02-03,2017-02-08,2294.669921875,131.83,17.4062802235834,forward
2017-02-03,2017-02-09,2307.8701171875,131.83,17.50641065908746,forward
2017-02-10,2017-02-10,2316.10009765625,131.31,17.638413659707943,forward
2017-02-10,2017-02-13,2328.25,131.31,17.730942045541084,forward
2017-02-10,2017-02-14,2337.580078125,131.31,17.801995873315057,forward
2017-02-10,2017-02-15,2349.25,131.31,17.8908689361054,forward
